category,d_description_en,source
3_information_technology,Administrative data and data/databases not specified elsewhere,manual
2_professional_services,Administrative investigation to provide additional insight and report findings,classifier
2_professional_services,Administrative management and planning services,manual
2_professional_services,Administrative services,manual
2_professional_services,Administrative support services,manual
2_professional_services,Administrative support studies,manual
3_information_technology,Adobe creative cloud,manual
3_information_technology,Adobe dreamweaver cc & cc for teams yearly licenses renewal,manual
3_information_technology,"Adp central processing unit (cpu, computer) analog",manual
3_information_technology,"Adp central processing unit (cpu, computer) analog - maintenance",manual
3_information_technology,"Adp central processing unit (cpu, computer) digital",manual
3_information_technology,"Adp central processing unit (cpu, computer) digital - installation",manual
3_information_technology,"Adp central processing unit (cpu, computer) hybrid",classifier
3_information_technology,"Adp central processing unit (cpu, computer) hybrid - maintenance",manual
3_information_technology,"Adp central processing unit (cpu, computer), analog",classifier
3_information_technology,"Adp central processing unit (cpu, computer), analog maintenance only",classifier
3_information_technology,"Adp central processing unit (cpu, computer), digital",classifier
3_information_technology,"Adp central processing unit (cpu, computer), digital maintenance only",classifier
3_information_technology,"Adp central processing unit (cpu, computer), hybrid maintenance only",classifier
3_information_technology,"Adp central processing unit (cpu,computer) digital - maintenance",manual
3_information_technology,Adp components,manual
3_information_technology,Adp components maintenance only,classifier
3_information_technology,Adp data conversion services,classifier
3_information_technology,Adp facility operations and maintenance services,classifier
3_information_technology,Adp input-output and storage devices,manual
3_information_technology,Adp input-output and storage devices - leasing of equipment,manual
